orig_path,label,index,ImagePath
Kvasir v2/dyed-resection-margins/dyed-resection-margins/0a0b455d-d3dd-4be4-a6a3-90f81d8c8f36.jpg,dyed-resection-margins,5,00001.jpg
Kvasir v2/normal-cecum/normal-cecum/8c24abe1-240c-4633-89a2-eec6ea2f55f5.jpg,normal-cecum,1,00002.jpg
Kvasir v2/polyps/polyps/31618922-f12c-4860-a2b1-1b1fef32a7c1.jpg,polyps,2,00003.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/8165e7ed-993f-4f81-8b9c-6e0866f18fd6.jpg,ulcerative-colitis,4,00004.jpg
Kvasir v2/normal-cecum/normal-cecum/ecd32bd0-b4d7-49d2-9264-298b381ba1be.jpg,normal-cecum,1,00005.jpg
Kvasir v2/normal-pylorus/normal-pylorus/5b5116aa-3b84-43a6-bf3e-4b851d0d124c.jpg,normal-pylorus,6,00006.jpg
Kvasir v2/normal-pylorus/normal-pylorus/fc017ebd-6837-4ea6-a306-4a724a94f18b.jpg,normal-pylorus,6,00007.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/b709b88d-e5c4-440c-9b28-a0daad8ce27c.jpg,dyed-resection-margins,5,00008.jpg
Kvasir v2/polyps/polyps/fafc5bb2-6d32-445a-97c3-f249ae556f22.jpg,polyps,2,00009.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/0d903cfb-02d8-49fa-abd2-01ca60025b16.jpg,dyed-lifted-polyps,3,00010.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/ad4636bb-d872-4779-b1a3-db3fa6cab9f5.jpg,dyed-lifted-polyps,3,00011.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/45842efe-b78d-4e94-b6b2-b5899d4a29bc.jpg,ulcerative-colitis,4,00012.jpg
Kvasir v2/normal-cecum/normal-cecum/b639a2b6-2f71-499c-8cc0-78f1ef4318d8.jpg,normal-cecum,1,00013.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/b940216a-a173-4920-b8ad-233b34fd36b2.jpg,dyed-lifted-polyps,3,00014.jpg
Kvasir v2/polyps/polyps/1522dded-e258-4aa8-99d4-7ab67a34221f.jpg,polyps,2,00015.jpg
Kvasir v2/esophagitis/esophagitis/cf22c0c7-3200-444a-a35d-ed2cfcedc9c6.jpg,esophagitis,7,00016.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/026a153f-d8e3-4325-b4ab-f5f9d485a333.jpg,ulcerative-colitis,4,00017.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/2a2a0f2d-eff0-4c03-9af0-e4259e6be3fe.jpg,ulcerative-colitis,4,00018.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/df4164ae-a340-4288-8316-5de3130be70a.jpg,dyed-lifted-polyps,3,00019.jpg
Kvasir v2/normal/normal/26448507-327e-4d44-ae6f-af212c1187c0.jpg,normal,8,00020.jpg
Kvasir v2/polyps/polyps/e2d8c9fd-6345-425c-b2eb-d176a3c3931b.jpg,polyps,2,00021.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/0cb7c7c3-f554-4171-85ab-fa3768745899.jpg,ulcerative-colitis,4,00022.jpg
Kvasir v2/esophagitis/esophagitis/5e84a5b6-b753-4aa2-a853-0d72e54aa3c4.jpg,esophagitis,7,00023.jpg
Kvasir v2/normal-pylorus/normal-pylorus/c41196eb-6fe0-4c1e-8107-6929d861f1b1.jpg,normal-pylorus,6,00024.jpg
Kvasir v2/polyps/polyps/b609e3a0-3384-4bf6-9a64-8cb6ddb463e9.jpg,polyps,2,00025.jpg
Kvasir v2/normal-pylorus/normal-pylorus/c3f75b90-1e89-476c-aa63-00e8a3c43761.jpg,normal-pylorus,6,00026.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/fc79c489-b358-4368-b965-330615af73d4_00000186.jpg,ulcerative-colitis,4,00027.jpg
Kvasir v2/normal-cecum/normal-cecum/3c08732b-daee-470b-ad6c-f40bebadcefe.jpg,normal-cecum,1,00028.jpg
Kvasir v2/normal-pylorus/normal-pylorus/cc3479a7-46c1-4a0c-918a-a1fef6e13ede.jpg,normal-pylorus,6,00029.jpg
Kvasir v2/normal-cecum/normal-cecum/22005dd4-bd06-42a4-85c5-3023b349bbc6.jpg,normal-cecum,1,00030.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/584f1fa0-9bb9-49d3-b412-c42819d0a200_00002362.jpg,ulcerative-colitis,4,00031.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/3192b0b3-9c92-47cb-8068-f0ef6702db48.jpg,ulcerative-colitis,4,00032.jpg
Kvasir v2/normal-cecum/normal-cecum/2a16b410-a2e7-4e05-a6ee-62b5048340f7.jpg,normal-cecum,1,00033.jpg
Kvasir v2/normal-pylorus/normal-pylorus/c3276983-1197-41c4-a717-3fed0553dfea.jpg,normal-pylorus,6,00034.jpg
Kvasir v2/esophagitis/esophagitis/d4777fd3-0b1d-4bbd-a0b2-7b5447ac2479.jpg,esophagitis,7,00035.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/7bcb8d84-b4ae-4bc4-9549-8929211afad9.jpg,dyed-lifted-polyps,3,00036.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/8d6e7e9f-d0de-4be9-a28d-66dbce719eaa.jpg,ulcerative-colitis,4,00037.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/d2a30c00-aedc-4ff8-97f4-6b600e845e28.jpg,dyed-lifted-polyps,3,00038.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/9666c8d6-1fdd-4963-97d7-71ac80e3c7bb.jpg,dyed-resection-margins,5,00039.jpg
Kvasir v2/esophagitis/esophagitis/6b486dae-9f61-4071-93a5-942e7294207a.jpg,esophagitis,7,00040.jpg
Kvasir v2/normal-pylorus/normal-pylorus/0b59508a-be33-4c29-841b-42cd1712e01e.jpg,normal-pylorus,6,00041.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/43f11034-7c6e-429e-98ef-cb9189a84fa6.jpg,dyed-lifted-polyps,3,00042.jpg
Kvasir v2/normal-pylorus/normal-pylorus/5577417b-80e5-4fed-a339-57302a0b628f.jpg,normal-pylorus,6,00043.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/296d0174-71f2-4022-9cad-5f14517ddd43.jpg,dyed-lifted-polyps,3,00044.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/c0f57402-ad88-44e2-a0dc-3f6cbef7a87b.jpg,ulcerative-colitis,4,00045.jpg
Kvasir v2/esophagitis/esophagitis/3b7a4e13-6ad5-49e4-ad17-60705dd5fb43.jpg,esophagitis,7,00046.jpg
Kvasir v2/normal-pylorus/normal-pylorus/cf7f4855-53d8-4c5c-b3d0-44c4e23b4354.jpg,normal-pylorus,6,00047.jpg
Kvasir v2/normal-pylorus/normal-pylorus/c21b1e22-ae04-44d1-a803-3611adba047c.jpg,normal-pylorus,6,00048.jpg
Kvasir v2/esophagitis/esophagitis/d009d322-3c01-474d-8469-0029382a7970.jpg,esophagitis,7,00049.jpg
Kvasir v2/polyps/polyps/11ad2a58-e96d-4cd4-b3af-d18ead3547c7.jpg,polyps,2,00050.jpg
